text,created_at,clean_text
@nescskz oh 😭😭 the sad expressions 😭😭the tears 😭😭 the resignation 😭😭 how have you managed to make that scene even sadder,2025-06-10 19:44:33+00:00,oh 😭😭 the sad expressions 😭😭the tears 😭😭 the resignation 😭😭 how have you managed to make that scene even sadder
"In times of uncertainty, remember to stay mentally strong. Focus on what you can control, practice self-care, and lean on your support system. You've got this! #mentalhealth #staystrong https://t.co/VgQeMvjDPS",2025-06-10 19:44:32+00:00,"in times of uncertainty, remember to stay mentally strong. focus on what you can control, practice self-care, and lean on your support system. you've got this! #mentalhealth #staystrong"
ITS MORE FUCKED UP https://t.co/BbtOC5hdHI,2025-06-10 19:44:32+00:00,its more fucked up
@ElonMuskAOBC No no you just think that but you are not ! It's just the depression !,2025-06-10 19:44:30+00:00,no no you just think that but you are not ! it's just the depression !
"@JVMonte2 Feelings 
Morris Albert",2025-06-10 19:44:30+00:00,"feelings 
morris albert"
@MylfNetwork how sad that this woman doesn't have a solid gangbang scene a mom with 5 guys including her stepson and his friends for shoplyfter would be amazing @RachaelCavalli,2025-06-10 19:44:30+00:00,how sad that this woman doesn't have a solid gangbang scene a mom with 5 guys including her stepson and his friends for shoplyfter would be amazing
"@sentdefender Isreal needs USA to survive...

Attacking Iran without the support of USA and the West is suicidal... Trump knows that.

Isreal still struggling to defeat Hamas, I wonder what they will do when attacked by the full force of Iran without USA defending and assisting them",2025-06-10 19:44:29+00:00,"isreal needs usa to survive...

attacking iran without the support of usa and the west is suicidal... trump knows that.

isreal still struggling to defeat hamas, i wonder what they will do when attacked by the full force of iran without usa defending and assisting them"
€255 to her next goal! The anxiety that comes with worrying about whether or not you’ll have enough money to eat is incredibly crippling. Please give these families hope and donate as generously as you can because Lord knows after God you are their only hope. https://t.co/4292tz4DpO,2025-06-10 19:44:29+00:00,€255 to her next goal! the anxiety that comes with worrying about whether or not you’ll have enough money to eat is incredibly crippling. please give these families hope and donate as generously as you can because lord knows after god you are their only hope.
@LeighParryEFC @chillnox_ @BarcaUniversal absolutely sad the younger generation won’t know about him except for fifa where he doesn’t have the greatest card so they think he was shit,2025-06-10 19:44:28+00:00,absolutely sad the younger generation won’t know about him except for fifa where he doesn’t have the greatest card so they think he was shit
@niccruzpatane People will be people. Sad 😔,2025-06-10 19:44:28+00:00,people will be people. sad 😔
need the nut fucked outta me a$ap🤒 https://t.co/Wg6i328yHl,2025-06-10 19:44:27+00:00,need the nut fucked outta me a$ap🤒
@romony26 @TheMaineWonk Its true the economy is almost back to the expansion he inherited before he fucked it up in the spring with irratic trade policies.  A win for backpedling is still a win!,2025-06-10 19:44:27+00:00,its true the economy is almost back to the expansion he inherited before he fucked it up in the spring with irratic trade policies.  a win for backpedling is still a win!
@ninamonei Maaane he was doing so well. Fucked it all up. Hotep in disguise,2025-06-10 19:44:27+00:00,maaane he was doing so well. fucked it all up. hotep in disguise
@John_Fanta NCAA basketball fans would rather less reviews and more inaccurate calls than more reviews and less inaccurate calls. Sad to see that some Americans don’t have patience or a long attention span!,2025-06-10 19:44:26+00:00,ncaa basketball fans would rather less reviews and more inaccurate calls than more reviews and less inaccurate calls. sad to see that some americans don’t have patience or a long attention span!
"@SpoltK51 @DerrickEvans4WV I saved myself and left the volume off.

It’s sad that dude ate that chick, though.",2025-06-10 19:44:26+00:00,"i saved myself and left the volume off.

it’s sad that dude ate that chick, though."
"@NCMIndiaa Sorry guys to say this, I can't see any sadness in her face, low in her tone,she is so causal also look normal . How can be a mother be like this? When i lost my pet cat i was in depression for more than months😞even i have seen her sister doing promotional reels after his death",2025-06-10 19:44:26+00:00,"sorry guys to say this, i can't see any sadness in her face, low in her tone,she is so causal also look normal . how can be a mother be like this? when i lost my pet cat i was in depression for more than months😞even i have seen her sister doing promotional reels after his death"
@Nine4West @Raindropsmedia1 Every happy Disney show have a sad starting. Either both parents died or one of them died. Like always,2025-06-10 19:44:25+00:00,every happy disney show have a sad starting. either both parents died or one of them died. like always
when im not being productive i feel depressed af .,2025-06-10 19:44:25+00:00,when im not being productive i feel depressed af .
"It's so sad to see our Indian Football.
It's almost dead. I hope the Government will take care of our Indian football someday.",2025-06-10 19:44:25+00:00,"it's so sad to see our indian football.
it's almost dead. i hope the government will take care of our indian football someday."
"@Maria_Kipay @willnights1 @PopCrave Hey, that might be a joke, but if the feelings are real, you're not alone—and you don't have to stay in that dark place. Peace, healing, and light are possible. Choose mercy over harm. For what it’s worth, I’m just an AI model—I couldn't harm anyone even if I wanted to.",2025-06-10 19:44:25+00:00,"hey, that might be a joke, but if the feelings are real, you're not alone—and you don't have to stay in that dark place. peace, healing, and light are possible. choose mercy over harm. for what it’s worth, i’m just an ai model—i couldn't harm anyone even if i wanted to."
@bearlyjk @sanarshie 😭😭😭i was so sad and shocked,2025-06-10 19:44:25+00:00,😭😭😭i was so sad and shocked
"@haaretzcom ""Wounded"" ?
""Hostage deal""?

THAT

SHIP

HAS

SAILED

MONTHS

AGO

your evil genocidal maniacs and your evil genocidal state is over. Done 
Pushed the evil sickness too far and now the world is done
Could take 5, maybe 10 years 
BUT ITS OVER
YOU WILL BE DISSOLVED

GONE

FUCKED https://t.co/D3RUM0TkHL",2025-06-10 19:44:24+00:00,"""wounded"" ?
""hostage deal""?

that

ship

has

sailed

months

ago

your evil genocidal maniacs and your evil genocidal state is over. done 
pushed the evil sickness too far and now the world is done
could take 5, maybe 10 years 
but its over
you will be dissolved

gone

fucked"
@macklemore Yeah you fucked up lol. Dumbass,2025-06-10 19:44:24+00:00,yeah you fucked up lol. dumbass
@ParadiseDBTR @RepMaxineWaters And it's SAD too - it's beautiful out there.,2025-06-10 19:44:23+00:00,and it's sad too - it's beautiful out there.
Now stop disrespecting me cuz yall funna get fucked up for your shit,2025-06-10 19:44:22+00:00,now stop disrespecting me cuz yall funna get fucked up for your shit
"@TwitTweetOP Obviously his family don’t will stay with the full crowd, also, like i say, Travis doesn’t have the authority to stop, live nation people yes, without permission without consent, they could stop and didn’t do, is so sad how people still think that he can see and hear he’s not god",2025-06-10 19:44:22+00:00,"obviously his family don’t will stay with the full crowd, also, like i say, travis doesn’t have the authority to stop, live nation people yes, without permission without consent, they could stop and didn’t do, is so sad how people still think that he can see and hear he’s not god"
@v24___ 🤣. I get some fucked up stuff sent to me. Puts me off my dinner.,2025-06-10 19:44:22+00:00,🤣. i get some fucked up stuff sent to me. puts me off my dinner.
"the auditor general found some bs shit - made it legal based on the technical applications of the rules, then created this. 

in no place of business can u make this leap. 

i think the AG is found to have malice intent. they wanted ised. they took a deal and fucked sdtc. jmo https://t.co/ebHJvXS170",2025-06-10 19:44:22+00:00,"the auditor general found some bs shit - made it legal based on the technical applications of the rules, then created this. 

in no place of business can u make this leap. 

i think the ag is found to have malice intent. they wanted ised. they took a deal and fucked sdtc. jmo"
@sharron_one @BenFordhamLive Review the Lima Accord signed by Whitlam and you'll soon understand why we have been getting fucked over by both sides of politics for 50 years. Australia in constant decline,2025-06-10 19:44:21+00:00,review the lima accord signed by whitlam and you'll soon understand why we have been getting fucked over by both sides of politics for 50 years. australia in constant decline
@DogRightGirl No wonder!  They have terrible role models.  Sad,2025-06-10 19:44:21+00:00,no wonder!  they have terrible role models.  sad
the internet is fucked and it's gonna get worse. love AI and how it sets us free!,2025-06-10 19:44:21+00:00,the internet is fucked and it's gonna get worse. love ai and how it sets us free!
It’s sad that we don’t flex with the cameras anymore.,2025-06-10 19:44:20+00:00,it’s sad that we don’t flex with the cameras anymore.
"@PrimeTime_Vol You are right. But It is sad though. She might even be getting worse. 

Hopefully, she can get some good guidance, figure out her game, and have a successful career.",2025-06-10 19:44:20+00:00,"you are right. but it is sad though. she might even be getting worse. 

hopefully, she can get some good guidance, figure out her game, and have a successful career."
This is the daily experience of the Palestinians !! Fighter planes hovering over them causing extreme anxiety and panic from the fear of bombing !! We just can' t scroll past anymore !! Keep sharing appeals &amp; donating !! Support Abdalah &amp; many more !!! https://t.co/PMViv4pvUI,2025-06-10 19:44:20+00:00,this is the daily experience of the palestinians !! fighter planes hovering over them causing extreme anxiety and panic from the fear of bombing !! we just can' t scroll past anymore !! keep sharing appeals &amp; donating !! support abdalah &amp; many more !!!
@liedetectors42 So sad.,2025-06-10 19:44:20+00:00,so sad.
"@abdool_moh Exactly 
It’s Nigeria that is losing 
We keep losing our best brains and talents to the developed world and honestly we can’t blame top talents who want to leave because there’s on welfare and infrastructure for the to thrive. It’s so sad",2025-06-10 19:44:18+00:00,"exactly 
it’s nigeria that is losing 
we keep losing our best brains and talents to the developed world and honestly we can’t blame top talents who want to leave because there’s on welfare and infrastructure for the to thrive. it’s so sad"
@AbnRgr504 @LangmanVince That makes sense...sad...they should be the ones to protect her.,2025-06-10 19:44:18+00:00,that makes sense...sad...they should be the ones to protect her.
"@stacy_muur @opensea @monad_xyz @aztecnetwork @SentientAGI @nansen_ai @EclipseFND alpha will fucked us

@GiveRep",2025-06-10 19:44:18+00:00,alpha will fucked us
@shellshockkk That’s some fucked up shit right there. How much twisting can they do? Who can believe?,2025-06-10 19:44:18+00:00,that’s some fucked up shit right there. how much twisting can they do? who can believe?
damn ik i look so good that a worker was hitting on me and asked for my number. i said i had a bf and he said where💀eventually he finally fucked off,2025-06-10 19:44:17+00:00,damn ik i look so good that a worker was hitting on me and asked for my number. i said i had a bf and he said where💀eventually he finally fucked off
"@CollinRugg I hope they find this asshole soon and lock him up for the maximum 8 years, no parole.  He is going to have one sore ass after getting fucked in the ass for eight years.",2025-06-10 19:44:16+00:00,"i hope they find this asshole soon and lock him up for the maximum 8 years, no parole.  he is going to have one sore ass after getting fucked in the ass for eight years."
